date,home,away,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away
2025-09-09 00:00:00,Zimbabwe,Rwanda,2.87,2.68,2.77,0.3219,0.3447,0.3335
2025-09-08 00:00:00,Belarus,Scotland,7.85,4.28,1.42,0.1196,0.2193,0.6611
2025-09-08 00:00:00,Croatia,Montenegro,1.19,6.74,13.34,0.79,0.1395,0.0705
2025-09-08 00:00:00,Equatorial Guinea,Tunisia,3.5,2.83,2.25,0.2637,0.3261,0.4102
2025-09-08 00:00:00,Ghana,Mali,2.46,2.72,3.23,0.3751,0.3392,0.2857
2025-09-08 00:00:00,Gibraltar,Faroe Islands,7.06,3.86,1.51,0.1333,0.2437,0.623
2025-09-08 00:00:00,Greece,Denmark,2.32,3.17,3.16,0.4055,0.2968,0.2977
2025-09-08 00:00:00,Guinea,Algeria,4.31,3.25,1.84,0.2142,0.2841,0.5017
2025-09-08 00:00:00,Guinea Bissau,Djibouti,1.07,9.44,24.63,0.8645,0.098,0.0376
2025-09-08 00:00:00,Israel,Italy,7.55,5.04,1.37,0.1249,0.187,0.6881
2025-09-08 00:00:00,Kosovo,Sweden,5.21,3.99,1.61,0.1804,0.2356,0.5839
2025-09-08 00:00:00,Libya,Eswatini,1.44,3.79,8.13,0.6422,0.244,0.1138
2025-09-08 00:00:00,Madagascar,Chad,1.17,6.02,16.25,0.7897,0.1535,0.0569
2025-09-08 00:00:00,Malawi,Liberia,1.77,3.19,4.87,0.5213,0.2892,0.1895
2025-09-08 00:00:00,Mozambique,Botswana,1.82,3.16,4.57,0.5065,0.2917,0.2017
2025-09-08 00:00:00,Switzerland,Slovenia,1.38,4.54,8.13,0.6786,0.2063,0.1152
2025-09-08 00:00:00,Uganda,Somalia,1.07,9.09,27.94,0.865,0.1018,0.0331
2025-09-08 00:00:00,Zambia,Morocco,7.2,4.48,1.38,0.1278,0.2054,0.6668
2025-09-07 00:00:00,Belgium,Kazakhstan,1.04,14.47,36.75,0.9089,0.0653,0.0257
2025-09-07 00:00:00,Central Africa,Comoros,5.63,3.27,1.66,0.1636,0.2816,0.5548
2025-09-07 00:00:00,Georgia,Bulgaria,1.25,5.46,12.28,0.7515,0.172,0.0765
2025-09-07 00:00:00,Germany,Northern Ireland,1.19,7.19,13.41,0.7973,0.132,0.0708
2025-09-07 00:00:00,Lithuania,Netherlands,30.06,10.64,1.07,0.0313,0.0885,0.8802
